,레시피 이름,식품명,재료,양념,조리순서
461,두반장이 필요없다! 쉽고~ 맛있는 마파두부/ 마파두부덮밥 레시피 공개!,마파두부,두부 2모##돼지고기다짐육 1팩##다진파 넉넉하게##다진양파 ##,다진마늘 2큰술##고춧가루 5큰술##간장 4큰술##설탕 1큰술##굴소스 1큰술##소금 톡톡##된장 1큰술##전분물 ##치킨스톡 (멸치육수) 약간##물 2컵##후추 조금##,"재료를 준비 해 줍니다. 마이쏭은 두부가 많은 마파두부가 좋으므로,
두부 2팩 준비했어요~! 돼지고기 다짐육도 통크게~ 한팩! ㅋㅋㅋㅋ##먼저, 돼지고기는 후추, 소금으로 밑간을 해 둡니다.##그리고, 재료손질!!!!
두부는 깍뚝깍뚝 좀 잘게 썰어주고~
파와 양파는 다져줍니다.##다진마늘도 준비 해 주세용~##모든준비 완료! 이제~ 만들어 볼까요?
먼저, 달군팬에 기름을 둘러줍니다. 기름과 참기름을 섞어 둘러주셔도 좋아요~!##기름에, 다진마늘과 다진파를 넣어 볶아주며 파기름을 내줍니다##그리고~ 파향이 진~하게 올라오면! 다진양파도 넣고, 함께 볶아주세용~!##그 다음은 밑간 해 둔 돼지고기다짐육 투입!!!##후추조금 넣고 맛술있음 맛술도 조금 넣고 볶아주세요~
마이쏭은 맛술이 없..... 그냥 후추만 조금 넣고 볶아줬답니다##고기의 겉면이 어느정도 익었다면!!!
여기에 양념을 해 줄 차례~! 빠알간 고춧가루 넣고~##설탕넣고~ 소금넣고~ 간장넣어~##타지않게 달달~ 볶아주세요!##이렇게 마파두부의 양념장이 완성 되었어요~!
이제, 여기다 바로~! 마파두부를 만들꺼랍니다! 마이쏭은 물을 부어줬는데~ 멸치육수가 있다면,
멸치육수를 넣어주시면 되용~##팔팔 끓어오르기 시작하면~##된장 1큰술 넣어줍니다.
두반장이 필요없다는것은? 바로 요 된장때문! ㅎㅎㅎㅎㅎ
양념과 섞이니~ 두반장이 필요없게 마파두부의 맛을 낼 수 있다구욧^^##드디어 오늘의 주인공 두부입짱~!!
2팩 과감하게! 몽땅 때려넣어 줍니다. 두부가 많아야 비주얼도 맛도 더 맛있든 듯 ㅎㅎㅎ##요건~ 뭐, 넣지 않아도 충분히 맛있지만~ 육수없이 물로 넣었기에,
마이쏭은, 집에있는 치킨스톡 한큰술 넣어줬답니다 ㅎㅎ##자아~! 이제 양념은 끝!!
요렇게 불을 줄이고 재료가 어우러지게~ 끓여주다가!!##전분가루와 물을 넣고 섞어, 전분물을 만들어 줍니다.
급하게 막걸리잔을 꺼내들었다는.. ㅋㅋㅋ##"
462,양파링 뿌리 채소 샐러드,채소샐러드,,,"물에 다시마와 마른 표고버섯을 30분 정도 담가두었다가 끓으면 가쓰오부시를 넣고 불을 끄고 5분 뒤에 거른다.##걸러낸 1)읠 맛국물 1C과 드레싱 재료를 넣고 섞는다.##우엉은 한입 크기로 썰고 연근은 두툼하게 슬라이스하여 우엉과 함께 끓는 물에 1분 정도 데치고 마는 껍찔째 1cm 두께로 자른다.##달궈진 팬에 식용유를 두르고 3)의 재료를 노릇하게 굽는다.##그린 빈스는 데쳐 어슷썰고 풋콩은 삶고 샐러리는 어슷썰어 그릇에 3),4)를 담고 드레싱을 뿌린다.##"
463,자박자박 매콤달콤한 햄떡볶이 레시피 (ft. 런천미트),런천미트구이,런천미트 작은거 1개##대파 약간##떡볶이떡 1인분##,,냉동실에 있던 떡볶이 떡을 찬물에 미리 담궈둔다.##런천미트를 길죽하게 잘라준다. 물은 커피잔에 1컵가득 준비##물 1컵을 붓고 떡볶이 떡을 첫번째로 떡을 익혀주고 닭발양념 2T 정도만 넣어준다. 충분하다~ 여기에 썰어놓은 대파를 넣고 후추도 살짝 뿌려준다. 떡볶이가 후라이팬에 눌지 않게 컨트롤 해준다.##햄과 올리고당 1T 를 마지막에 넣어준다. 뒤적뒤적 고르게 양념이 스며들 수 있도록 뒤적뒤적 해준다.##
464,도라지 생채 만들기,도라지생채,도라지 200g##소금 3TS##고추가루 1TS##고추장 2TS##식초 1TS##설탕 1TS##대파 약간##깨소금 약간##,,도라지는 굵은 소금3TS를 물에 섞은 후에 도라지를 절여 줍니다##도라지를 10분정도 절인후 물기를 뺀후에 고추장1TS+고추가루1TS를 섞은 후에 도라지를 빨갛게 물들이게 조물조물 무쳐줍니다.##식초1 설탕1의 비율로 넣고 무쳐준 줍니다. 깨소금을 솔솔 뿌려서 접시위에 냅니다.##
465,KFC 콘샐러드 집에서 맛있게 만드는 법♥,옥수수샐러드,옥수수통조림 1개##빨간 파프리카 1/3개##노란 파프리카 1/3개##양파 1/2개##,마요네즈 3T##식초 1T##설탕 1/2T##소금 1/2t##후추 약간##,"1. 옥수수 통조림의 국물을 제거해주세요.
Tip) 야채 손질하는 동안 미리 체에 밭쳐 물기를 빼주면 좋아요!##2. 샐러드에 넣을 야채는 옥수수와 비슷한 크기로 잘라 준비해주세요.
야채와 옥수수의 비율은 1:1. 야채가 좀 더 많아도 괜찮아요
콘샐러드에 들어가는 야채 중 양파와 빨간 파프리카는 필수로 넣어주시는 게 좋아요. (양파-식감, 빨간 파프리카-색감)
저는 당근이 없어서 노란 파프리카도 넣어줬는데요, 사실 옥수수랑 섞이면 잘 안보여서...없으면 굳이 안 넣어도 돼요!
대신 당근 있으면 꼭 넣어주세요.
식감, 색감 모두 살릴 수 있어요ㅎㅎ##3. 볼에 준비된 재료를 넣고 아래 양념을 넣어주세요.
콘샐러드 드레싱: 마요네즈 3스푼, 설탕 1/2스푼, 식초 1스푼##4. 기호에 맞게 후추와 소금을 조금 넣어주세요.
저는 소금 한꼬집, 후추는 3~4번 톡톡 털어 넣었어요:)##바로 먹는 것보다는 냉장고에 반나절~하루 정도 숙성시켜둔 뒤 먹으면 드레싱이 고루 배어 더 맛있어요##"
466,도라지오이생채,도라지오이생채,도라지 100g##오이 1/2개##,다진마늘 1t##깨 1t##청고추 1/2개##홍고추 1/2개##매실액 1T##올리고당 1/2T##식초 1T##고추장 1T##설탕 1/2T##,"도라지는 껍질벗겨 먹기좋게 길이로 썰어 준비하는데요
굵은소금넣고 바락바락 주물러 씻은 후 흐르는 물에 잘 씻어 건져요##처음에는 오이를 넣을 생각이 아니었어요
그래서 바로 양념넣고 조물조물 무쳤다지요 ㅎㅎ##무치고보니 냉장고에 있는 오이가 생각났어요
그래서 휘리릭 오이넣고 다시 무칩니다
참 나~~ ㅡㅡ;;##반달썰기한 오이넣고 다시 조물조물... ㅎㅎ
오이를 살짝 졀여서 사용하면 물기가 생기지 않아서 좋아요
저는 도라지 무치던 중이라 그냥 사용 했습니다
아삭아삭 맛있은 도라지오이생채 완성입니다##"
467,간장양념 닭조림으로 간식해결~,닭조림,닭 ##우유 ##포도씨유 ##견과류 ##,간장 4큰수저##설탕 2큰수저##매실액 2큰수저##굴소스 1큰수저##맛술 1큰수저##물 5큰수저##생강 ##,"육질을 부드럽게 하고 잡내를 잡아주기 위해서 우유에 30분정도 담궈서 사용을 했습니다.##우유를 헹궈내고 키친타올로 꾹꾹 눌러서 물기를 제거해줍니다.##후라이팬에 기름을 둘러주시고 앞뒤로 노릇하게 구워주세요.##팬에서 닭이 구워지는 동안에 간장양념을 만들어줍니다. 간장4, 설탕2, 매실액2, 굴소스1, 맛술1, 물5, 생강, 굵은후추 약간을 넣었어요.##구워지고 있는 닭에 간장양념을 부어주세요.##간장양념을 넣고 닭을 앞뒤로 돌려가면서 조려주세요. 굵은후추를 넣어서 후추넣은티 팍팍나고 좋으네요..##양념도 줄고 색이 확실하게 달라졌죠??? 양념을 조금 더 졸여서 접시에 담으면 끝이랍니다. 마지막에 땅콩가루를 위에 뿌려보세요.##"
468,감자 버섯 조림 간단 저녁 반찬,버섯조림,감자 2개##표고버섯 3개##양파 1/2개##대파 1/2대##청양고추 1##홍고추 1/2개##다진마늘 1t##식용유 약간##,진간장 2~3T##설탕 1t##고춧가루 1T##물 1+1/2컵##통깨 약간##,"표고버섯 양파는 적당하게 썰고, 대파 고추는 어슷하게 썰어요##감자는 깍둑썰기해 물에 헹궈줍니다##팬(냄비)에 기름약간 두르고 감자 넣고 볶다가 물 1컵 반을 넣고 양념을 넣어 중불에서 끓이고
중불##감자가 살캉한 정도로 익으면 표고버섯 양파 넣어 끓여줍니다##고춧가루 넣고 간을 맞추고 약불로 줄이고, 감자의 크기에 따라 간이 달라 질수 있어요 부족한 간은 간장으로 하면되세요
약불##마지막에 대파 고추넣고 한 소끔 끓이고 마무리합니다##통깨 뿌리고 완성~##"
469,모카빵,모카빵,강력분 250g##이스트 5g##소금 3g##물 100g##버터 35g##설탕 40g##인스턴트 커피가루 5g##계란 1개##초코칩 40g##,버터 35g##설탕 60g##달걀 25g##우유 20g##인스턴트 커피가루 4g##박력분 130g##베이킹파우더 2g##소금 1꼬집##,"제빵기에 물 -> 설탕, 소금, 인스턴트 커피가루, 계란 -> 강력분 -> 이스트를 넣고 반죽을 하다가, 반죽시작한지 5분 후에 버터를 넣고 반죽을 완성시켜주세요. 반죽이 완성되면 따스한 곳에서 2.5~3배정도가 되게 1차발효 1시간 시켜주세요. 발효가 끝나면 반죽을 3~4개 정도 나눠서 둥글리고 하고 비닐을 덮어서 벤치타임을 가져주세요.##반죽을 길게 밀고 초코칩 반죽칩을 넣고 돌돌 말은 다음에 반죽 끝부분을 꼬집어 주세요.##1차 발효할 시간동안 쿠키반죽을 만들어 주세요. 실온의 버터를 풀고 설탕을 넣고 섞다가 우유, 계란을 조금씩 넣고 섞어준 다음에 커피가루, 박력분, 베이킹파우더, 소금을 넣고 가르듯이 #모양을 그리며 섞어서 비닐에 넣어서 냉장실에 넣어주세요. 냉장실에 넣어둔 쿠키반죽을 비닐과 비닐사이에 넣고 밀대로 밀어주세요.##쿠키반죽의 윗 비닐을 떼내고 성형해 둔 빵반죽을 올리고 감싸주세요.##쿠키반죽을 붙인 반죽을 따스한 곳에서 40분 정도 2차발효 하고 180도에서 25분 구워주시면 되요.##"
470,추운겨울 추억의 겨울간식 호떡을 만들어 봐요,호떡,강력분 /중력분 250그램##이스트 4그램##설탕 20그램##소금 3그램##식용유 30그램##따듯한 물 180그램##흑설탕 200그램##땅콩분태 50그램##,,"데운물에 이스트를 넣고 섞어주세요##밀가루 ,소금 ,설탕을 넣고 섞어두세요##가루섞어둔 볼에 이스트푼 물을 넣고 가루가 보이지 않을 정도만 섞어 주세요##식용유를 넣고 섞어주세요##랩으로 잘덮어준후에 2배이상 부풀어 오르게 발효시켜 주세요
요즘 이불속 장판안에 두시면 금방 발효 될거에요##흑설탕과 땅콩분태는 섞어두세요
취향껏 다른 견과류 섞어주셔도 좋아요##발효된 반죽을 적당량 잘라서 속을 넣고 동그랗게 만들어 주세요
손에 식용유 살짝 바르고 만들면 안붙고 좋아요
굽기전에 미리 다만들어 놓고 구우면 편해요##팬에 식용유를 두르고 앞뒤로 노릇하게 부쳐 주시면 됩니다##"
471,[말복] 간장으로 만드는 양념장어구이,양념장어구이,손질 장어 250g##미림 1T##소금 소량##후추 소량##식용유 0.5~1T##깨 1t##,맛간장 4T##미림 3T##설탕 0.5T##올리고당 1T##굴소스 1.5T##페퍼론치노 2개##생강 1톨##물 100ml##,"손질장어는 물에 한번 씻어서, 미림1T, 물을 넣고 5-10분간 비린내 제거를 해주세요.
미림1T, 물, 손질장어250g
생강 곁들어서 같이 드실 분은 생강을 채 썰어서 찬물에 담궈줬다가 먹기 직전에 빼주시면 됩니다.##미림+물에 담궈둔 장어는 한번 씻어서, 물기를 빼 준 다음 장어 껍질에만 칼집을 내주세요.
손질장어250g
장어가 구워지면서 말리게 하지 않기위해 칼집을 내주는거예요 :)##소량의 소금, 후추를 이용해 장어 살 부분에만 5-10분간 밑간을 해주세요.
소량의 소금, 소량의 후추##약불에 기름을 두른 뒤- 먼저 장어를 초벌구이를 해주세요.
식용유 0.5~1T##소스를 만들어줄거예요.
맛간장4T, 미림3T, 설탕0.5T, 올리고당1T, 페퍼론치노 2개, 생강 1톨, 굴소스 1.5T, 물 100ml 넣고, 중불에서 끓여주세요.
맛간장4T, 미림3T, 설탕0.5T, 올리고당1T, 페퍼론치노 2개, 생강 1톨, 굴소스 1.5T, 물 100ml
중불
맛간장은 진간장으로 대체 가능!
미림은 맛술, 청주로 대체 가능!
통마늘 있으신 분들은 이때 같이 넣어주세요-
올리고당은 물엿, 꿀로 대체 가능!
페퍼론치노는 청양고추로 대체 가능!##소스가 졸아들때까지 끓여줄거예요.
소스 넣고 3-5분 끓이다가, 초벌한 장어넣고 중불에서 계속 앞뒤로 반복해서 구워주세요.
중불##요로케 소스가 졸아들기시작하면, 약불로 바꾸신 다음에 두세번 앞뒤로 더 반복해서 잘 구워주시면 끝나요.
마지막으로, 깨 뿌려주시고- 먹기좋은 크기로 잘라서 드시면 됩니다.##"
472,아삭아삭 콩나물무침♡,우거지나물무침,콩나물 한봉지 300g##,참기름 1T##소금 1t##통깨 1T##,"콩나물을 깨끗이 씻어요.
바로 팬에 담아서 뚜껑을 덮어 가열합니다. 씻을 때의 물이 묻어있고 재료 자체의 수분으로 익히면 훨씬 영양분이 살아있답니다.
*가스렌지-약불에서 7분
*인덕션-7단에서 7분##콩나물을 데치는 동안 고명으로 쓸 채소를 준비합니다. 아주 조금만 있어도 됩니다.##잘 데쳐졌네요. 조금 있는 물은 따라내고 그 팬에서 바로 무칠거예요. ※따라낸 물은 국이나 찌개에 넣으면 좋아요.##먼저 참기름 1T로 콩나물을 버무려주세요.
※기름을 먼저 쓰면 소금을 조금만 넣어도 간이 맞습니다.##소금과 고명채소, 통깨를 넣고##버무리면 아삭아삭한 콩나물 무침 완성입니다.##그릇에 예쁘게 담아 찰칵!!!##"
473,닭가슴살 샐러드,닭가슴살샐러드,닭가슴살 300g##양파 1개##로메인 1통##,올리브유 2큰술##맛술 1큰술##머스터드 1/2큰술##다진마늘 1/2큰술##소금 약간##후추 약간##로즈마리(생략가능) ##,"재료를 준비해주세요. 닭가슴살은 우유에 10분 정도 담가두었다가 건져 낸 후, 물에 헹궈 물기를 제거하고 밑간 재료에 10분간 재워주세요.##로메인과 라디치오는 먹기 좋은 크기로 자르고, 찬물에 담갔다가 물기를 제거해주세요. 그리고 방울토마토와 양파는 얇은 링으로 썰어주세요.##볼에 드레싱 재료를 넣고 섞어주세요.##달군 팬에 약간의 올리브유를 두르고 닭가슴살의 표면을 노릇하게 구워주세요.##그리고 약불로 줄이고 뚜껑을 닫아 10~12분 정도 은근히 구워 속까지 익혀주세요.##접시에 잎채소를 담고, 구워놓은 닭가슴살을 올린 후 드레싱을 뿌려주세요.##"
474,들깨향 가득~ 머위대들깨볶음,머위나물볶음,머위대 삶은 것 600g##국간장 2##들기름 2##다진마늘 1##들깨가루 6스푼 같은 3##소금 ##다시마 우린물 250ml##대파 ##,,"1. 머위대는 끓는 물에 소금넣어 데친 후 껍질벗겨 적당한 길이로 잘라 준비한다. 굵은 대는 쪼갠다.##2. 국간장과 들기름, 다진마늘을 넣어 조물조물 무친다. 액젓을 사랑하는 저는 국간장1, 액젓1을 사용했어요~ 볶을 팬에 양념을 하면 설거지가 줄어 편해요~ㅎ##3. 양념한 머위대를 볶는다.##4. 다시마 우린 물250ml에 들깨가루 6스푼같은 3스푼을 넣어 섞은 다음...##5. 나물볶던 팬에 넣고 끓인다. 저는 국물 자작한 머위대나물이 좋아 물을 많이 잡았는데 들깨가루 양이나 물의 양은 취향껏 조절하세요##6. 소금으로 부족한 간을 맞춘 후 불을 끄고 송송 썬 대파를 넣어 마무리한다. 소금의 양은 국간장이나 액젓의 염도에 따라 다르니 기호에 맞게 간을 맞춰주세요##"
475,두부전,두부전,두부 1.5모##양파 1/2개##당근 1/2개##다진파 20g##소금 1/2스푼##후추 약간##계란 2개##밀가루 약간##,,양파 당근 파는 잘게 다져서 준비합니다.##두부는 물기를 제거하고 으깨서 넣고 계란을 넣은 후 잘 섞어줘요##반죽의 농도를 확인후 잘 안뭉친다 싶으면 밀가루로 농도를 조절해주세요.##동그랗게 올려서 후라이팬에 잘 구워줍니다~##
476,LA갈비구이,쇠곱창구이,LA갈비 1키로##,양파대 1/2개##배 1/4개##사과 1/2개##간장 6큰술##설탕 2큰술##맛술 3큰술##참기름 1큰술##생강술 1큰술##다진마늘 1큰술##물엿 3큰술##후추 약간##,"갈비는 찬물에 담가 핏물을 빼고 손으로 주물러 흔들어 씻어
뼛가루를 제거한다.
물기를 뺀다.##양파,배,사과는 껍질을 벗기고 강판에 갈아##즙만 사용한다.
즙만 사용해야 갈비 구울때 깔끔하게 구워진다.##윗 분량으로 양념장을 만든다.
싱거우면 간장 추가##갈비를 양념장에 재워둔다.##팬에 기름을 두르고 갈비를 구워낸다.##접시에 잘라 담는다.##"
477,크로아상 오믈렛 샌드위치,크로아상,,,"재료를 준비합니다.
야채는 모두 다져주세요.##크로아상은 칼로 반을 갈라줍니다.
여기에 오믈렛이 쏙쏙 들어갈 거예요.##팬에 기름을 두르고 다진 야채들을 투하합니다.##계란을 풀어줍니다.##야채가 어느 정도 숨이 죽고 볶아졌을 때
풀어낸 계란을 부어주세요.##소금을 약간 넣습니다.##뭔가 이건 계란 전인가...
싶을 모양이 되었을 때 까지 익힙니다.##크로아상 개수에 맞추어
이렇게 나눠줍니다.##오븐 팬에 반으로 자른 크로아상을 펼쳐놓습니다.##체다치즈를 먼저 골고루 뿌려줍니다.##그리고 오믈렛을 각각 올립니다.##마지막으로 모짜렐라 치즈를 뿌립니다.##180도 오븐에 4분에서 4분 30초 정도 구워줍니다. 크로아상이 금세 딱딱해지기 때문에 전자레인지를 추천하지는 않지만 오븐이 없다면 전자레인지에 1분 돌려주세요.
전자레인지,오븐##취향에 맞게 후추나 파슬리 가루를 뿌려주고 반을 접습니다.##완성.##"
